start_time,text,video_url,summary
0.0,who's going to take cleaning advice from someone who loves cleaning everything all the time or someone that freaking hates cleaning wants to get it done as quickly and efficiently as possible so that they can move on and do the more enjoyable things in life well I am the latter person and today I'm going to teach you how to clean absolutely everything in your kitchen everything I know about kitchen cleaning I'm dumping into this video so that you can clean it quickly and efficiently without wasting time and getting amazing results so let's,https://www.youtube.com/watch?v=wHBQNIkwWYQ,A self-professed cleaning-hater shares efficient and quick kitchen-cleaning techniques in a comprehensive video to help others achieve great results and save time.
30.0,10000 likes on this video so give this video a thumbs up to help us get there it's easy to get a microwave dirty just put something in their heated up let it explode and you've got yourself a big disgusting mess in your microwave my number one tip to microwave enthusiasts is to cover whatever it is that your microwaving,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"To achieve 10,000 likes, the video advises viewers to like the video and shares a tip for microwave users to cover food during heating to prevent messes."
60.0,avoid that fall out but even people who use protection in the microwave still deal with a bit of a mess so the best way to clean it is to get yourself a microwave proof bowl fillet with water take a lemon cut it in half squeeze both halves of the lemon into the bowl throw the lemon skins in there and then microwave it for about 3 minutes what that does is it kind of creates a bit of a steam room sauna effect in the microwave,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"To easily clean your microwave, place a bowl of water with squeezed lemon juice and the lemon halves inside, and microwave for three minutes to create a steamy, sauna-like effect that loosifies residue."
90.0,in the microwave then at the 3-minute Mark you're going to remove that bowl and take a microfiber cloth and work your way from inside the door to the inside walls even the roof and of course the rotating plate you want to make sure that you get everything inside that microwave squeaky clean when that's all done you also want to give the exterior of the microwave a wipe down just remember when you're cleaning the electronic panel to spray your cloth and,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"To clean a microwave, heat a bowl of water inside for 3 minutes, then wipe all interior surfaces including the door, walls, roof, and rotating plate with a microfiber cloth, and finish by cleaning the exterior, especially the electronic panel by spraying cleaner onto the cloth."
120.0,counter space in your kitchen is very valuable real estate so keeping a clean is super important now there are two types of countertops major major types of countertops that you're going to see in the kitchen the first type is laminate and the second type is natural stone laminate countertops are very durable they can handle all-purpose cleaners natural stone countertops you want to be a little bit more careful with what you throw on them specifically you want to,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"Kitchen counter space is valuable, and while laminate countertops are durable and can handle all-purpose cleaners, natural stone countertops require more careful cleaning product choices."
150.0,there was a time and when I was growing up we had laminate countertops and somebody put like a product with bleach on the countertop and it left a permanent stain on there so you do have to be mindful about laminate countertops too but the thing that I want to make a distinction about here specifically is that natural stone countertops when you're making your own DIY solution you know if I were just doing a laminate countertop I would just do two cups of water and like a,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"When discussing the maintenance of countertops, it's important to recognize that natural stone requires different care compared to laminate, which can be damaged by harsh products like bleach."
180.0,whereas with natural stone I like to throw a bit of rubbing alcohol in there and that just helps everything dry quicker and reduce streaks now when it comes to counters a few things I want to bring up first of all a clean counter is one thing but looking right at it you might not know if it's 100% clean which is why I recommend doing the Eye Level test and if you don't know about my eye level test you got to learn about it I'll link a video for you down below where we,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"When cleaning natural stone counters, adding rubbing alcohol helps them dry quicker and reduces streaks, and using the Eye Level test ensures they are thoroughly clean, with a video linked for further explanation."
210.0,all about how to do that little pro trick the Eye Level test to make sure your kitchen counters are perfectly clean but the other thing I'll tell you is especially in light of everything that we've been going through over the past few months countertops are definitely one of those surfaces that you want to make sure you're using the two step cleaning process on especially if you're bringing things into your kitchen like bags of groceries or you're chucking your purse your keys and other things from the outside in your house so what that means,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"The text discusses using the ""Eye Level test"" to ensure kitchen counters are perfectly clean and emphasizes the importance of a two-step cleaning process for surfaces, especially important due to recent hygiene concerns and the habit of placing items like groceries and purses on them."
240.0,is it going to clean the countertop as you would remove everything spray it down with your cleaner of choice whether it's a store-bought cleaner and all-purpose cleaner or a cleaner with a bit of rubbing alcohol added to it that you've made up of course you get to choose depending on what your needs are and once the surface is clean it's at that point that you would then apply the disinfectant if you needed to disinfect that surface you would let it sit on the surface wet for the recommended amount of time depending on what type of product you're using typically it's about 3 to 5 minutes,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"To clean a countertop, first remove everything, apply your chosen cleaner, clean the surface, then apply a disinfectant and let it sit for the recommended 3 to 5 minutes if needed."
270.0,and then you would wipe it down and that would give you not only a clean but a disinfected countertop as well for the sink I always like to spray it down with all-purpose cleaner make sure that you get into all of those nooks and crannies yeah you know those little hidden corners and then shake some baking soda admittedly it was a little aggressive there now grab yourself a cleaning toothbrush this is going to allow you to get into all of those little areas that you can't normally reach with a cloth or a sponge especially,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"Wipe down and disinfect countertops, and for thorough cleaning of sinks, use all-purpose cleaner and baking soda, applying with a toothbrush to reach difficult areas."
300.0,scrubby side to really massage the baking soda right into the sink and what this does is it lifts up all of that grease and grime and stuff that stuck they're making it look less than shiny rinse it well and buff it dry with a microfiber cloth your sink will look brand new cover fronts can be a forgotten surface in the kitchen even though they're right in front of your face they're kind of,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"Using baking soda and a scrubby side helps lift grease and grime from your sink, making it look brand new, while cleaning cover fronts can refresh often overlooked kitchen surfaces."
330.0,dirty cupboards you really do notice them so I actually think it's important to pay attention to them when you're cleaning and you don't have to do it all the time but every few cleans or when you're endeavouring on a more thorough clean of your kitchen you really can pay more attention to your cupboard front now the first thing to keep in mind is the material that you're covered is made out of because that is going to inform what products you use now I always love to play it Safe,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"Maintaining clean cupboards is important and should be addressed every few cleans or during thorough kitchen cleanings, taking into account the material of the cupboards to choose the appropriate cleaning products."
360.0,I use a combination of soap and water are general all-purpose cleaner I find that that works really well on most painted surfaces whether it's high gloss or matte but always check with your manufacturer first so that you know what is safe generally speaking you can spray the product onto the cupboard front and always be mindful depending on the style of your cabinet if you have any grooves be mindful of any dirt build-up that's there because that might need a little bit of extra TLC with a scrubbing with a cleaning toothbrush,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"For cleaning most painted surfaces, a combination of soap and water works well, but it is advisable to consult the manufacturer and pay extra attention to dirt buildup in cabinet grooves, which may require additional cleaning with a toothbrush."
390.0,heavy duty moving move out tenant turnover cleans when I first started my cleaning business that was one of the areas where I spent a lot of time because dirt really does build up as well as Greece over time now let's say that that area is really really dirty or there's some thick fingerprints or Grease that you can't tackle just using an all-purpose cleaner that's where you would want to get yourself an enzyme cleaner now I like using enzyme cleaners because,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"When starting a cleaning business, focusing heavily on move-out tenant turnover cleans is crucial due to the significant accumulation of dirt and grease, with enzyme cleaners recommended for particularly tough grime."
420.0,is there a great at breaking down and digesting dirt and grease but leaving the surface intact and unharmed and that's exactly what you want on expensive beautifully finished cabinet fronts because trust me you don't want to ruin them clean them and then have to fix them that is truly an expensive job so spray on your enzyme cleaner allow it to sit wet on the surface for 3 to 5 minutes that's going to help break down any of that oily greasy stuff and even if you have pesky fingerprints that you can't get rid of give the,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"Enzyme cleaners are effective at breaking down and digesting dirt and grease on expensive cabinet fronts without damaging the surface, saving you from costly repairs."
450.0,rinse of a clean microfiber cloth when you're done and between doing that and getting the groove of the cupboard nice and clean using that cleaning toothbrush oh my gosh your kitchen is going to Sparkle in a way you never knew possible the first thing that kind of the magic tip about toasters is that they have this little thing at the bottom called a crumb tray and I did not know about this crumb tray until I started clean my,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"Rinsing a microfiber cloth and using a toothbrush to clean cupboard grooves, along with discovering and cleaning a toaster's crumb tray, can significantly enhance the cleanliness and sparkle of your kitchen."
480.0,sits at the bottom it's removable little piece and it collects all the crumbs so the first thing is you remove the crumb tray you kind of dump it over the sink then give it a quick rinse and scrub it with some soap and a gentle sponge you want to scrub it because burnt on food oily stuff that can cake on which can lead to years and years of that burnt smell every time you turn your toes on it all kind of,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"The text instructs on how to clean a toaster's removable crumb tray by dumping out crumbs, rinsing, and scrubbing with soap and a gentle sponge to prevent burnt smells."
510.0,tip it upside down and give it a bit of a tap now if there's anything that's really difficult to remove you might want to fish your cleaning toothbrush in there just to give it a little brush down and loosen anything up that could be in there I'm not spraying the item directly rather I'm spraying the cloth and I'm giving it a good wipe down now admittedly this toasters pretty new so it doesn't look so bad then put it back together again plug it in,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"To clean something stubborn inside an item, tip it, tap it, use a toothbrush if necessary, then wipe it down with a sprayed cloth, reassemble, and plug it in."
540.0,start by removing your cutlery bin and then remove the lower back which is just on Wheels it's pretty simple and spray the interior frame of the dishwasher with all-purpose cleaner you're going to let that sit and while that is soaking at equal parts dish soap and baking soda to a little bowl grab a cleaning toothbrush and use that to get into any of the areas with build-up you are going to find a lot,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"To clean your dishwasher, start by removing the cutlery bin and lower back, spray the interior with all-purpose cleaner, let it soak, and then scrub any built-up areas with a mixture of dish soap and bakingdao using a toothbrush."
570.0,a good scrubbing then if you have a filter you can remove that filter and give that a good cleaning by just soaking it in a sink filled with hot soapy water the filter is where all that food that you forgot to rinse out in the sink gets caught and that could eventually lead to odors and build up and bacteria so you really want to make sure that that's nice and clean replace your filter now that everything's had a chance to,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"To maintain a clean and odor-free environment, thoroughly scrub and soak the filter in hot soapy water to remove trapped food particles and prevent bacteria buildup, ensuring it is replaced after cleaning."
600.0,toothbrush rinse it with some water and a microfiber cloth replace the Rack and you're good to go one thing you can do is place a container of vinegar on the top rack and set your dishwasher to run this will help break down any extra soap scum or things stuck in the dishwasher that are causing odors staying on top of odors in the kitchen is crucial and the stinkiest,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"To maintain a fresh and clean dishwasher, rinse your toothbrush, replace the rack, and run the dishwasher with a container of vinegar on the top rack to break down soap scum and eliminate odors."
630.0,how far are the garbage cans whether it's for garbage or recycling or compost they get smelly and we want to keep them clean so here's how you do it first and most obvious is to just remove the garbage from the receptacle then you can start by spraying the interior and exterior with all-purpose cleaner I'm shaking some baking soda inside the interior hear that is going to help deodorize and also give me any extra abrasion that I need to get rid of,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"To clean smelly garbage, recycling, or compost bins, remove all waste, then spray them inside and out with all-purpose cleaner and sprinkle baking soda inside for deodorizing and abrasive cleaning."
660.0,play build up inside the garbage can I'm using a microfiber cloth to just wipe and polish the exterior then I'm getting a sponge that's got a bit of soap on it that's where I'm getting that phone and I'm scrubbing the interior then I took it outside gave it a good old Spritz with the hose rinsed it out and I'm giving it one final Polish with a microfiber cloth now it looks new and not that I would do this but smells new as well the fridge,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"I cleaned and polished the garbage can using a microfiber cloth and sponge with soap, rinsed it with a hose, and gave it a final polish, making it look and smell almost new."
690.0,choose a Humpty Dumpty type situation you've got to take it all apart clean it before you put it all back together again so I removed everything from the fridge so that I could get to the shelves and the bins and I'm going to remove those two giving everything a good spray down with all-purpose cleaner and I'm shaking baking soda onto any of the surfaces that I know have you know syrup or catch up or anything like that caked on the baking soda is really going to help lift that off now back to the,https://www.youtube.com/watch?v=wHBQNIkwWYQ,The text describes thoroughly cleaning a refrigerator by removing all contents to wipe down shelves and bins with all-purpose cleaner and using baking soda to tackle sticky residues.
720.0,where I'm just using a microfiber cloth to give the fridge a really good wipe down spraying as needed and if you have any stains you can use some baking soda on your microfiber cloth that will help lift out stains on the fridge interior as well then I'm going to go shelf by shelf and give it a scrub and a rinse before I put everything back now putting it all back might take you a little bit of time to figure out but once you get to know your fridge it'll you know move pretty quickly,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"Using a microfiber cloth and occasionally baking soda, thoroughly clean and scrub each shelf of your fridge, and though reorganizing may initially take time, it becomes quicker as you familiarize yourself with the space."
750.0,if you're a frequent cattle user you might notice that there is hard water build-up or that kind of white crust growing on the inside of your kettle don't worry it's harmless but it's easy to get rid of just fill your kettle up with white vinegar turn it on boil it and then dump the Vinegar down the sink and give your kettle a rinse it's that easy it just goes away one of the things that people complain about in the kitchen the most is cleaning the,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"To remove hard water build-up from your kettle, boil white vinegar in it, then rinse after discarding the vinegar."
780.0,the oven is challenging because you're dealing with high heat and you're dealing with things that get caked on and essentially Bond to the surface it's difficult to clean off now if you have a self-cleaning oven you're fortunate but even still you know before I got into the cleaning game I was terrified of the self cleaning oven I found it very overwhelming and we haven't done a video on how to clean a self-cleaning oven in a long time I think I was probably in my 20s,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"Cleaning ovens is difficult due to high heat and stubborn residues, and while self-cleaning ovens offer some relief, they can still be intimidating to manage."
810.0,last time we did that video so if you want to reboot of that one let me know in the comments down below and we'll get a new one going for you and actually we've never done one on how to clean a non self cleaning oven because I haven't had access to a non self-cleaning oven in my home so let me know in the comments down below if you want to see that one too and we're going to go on a bit of a mission and figure out how to get that video out for you if it's something you're interested in the tips that I can give you around cleaning your oven without,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"The speaker invites comments to determine interest in rebooting a previous video and creating a new one on cleaning a non-self-cleaning oven, promising to explore and share relevant tips."
840.0,getting into all of the details because that is truly a video in itself first of all you want to remove everything from the surface from the drawers and of course inside the oven you want it to be an empty vessel the next thing is you want to make sure that you remove all of the Loose crust from your oven you might even want to use a little bit of a scraper or the back of a credit card or gift card just to lift off any of that extra kind of loose stuff if you have a non self cleaning oven that,https://www.youtube.com/watch?v=wHBQNIkwWYQ,"The text instructs removing all items from an oven and scraping off loose debris to prepare it for cleaning, especially if it is a non-self-cleaning model."
